name,type,startTime,endTime,target,description,,,,,,,,,,
디바이스 용인 랩 운영 사업,창업지원,2024.1,2024.12,"예비 - 초기 창업자, 재직자, 중소기업, 청년 등",역량 강화 교육 및 개발 환경 제공을 통해 지역 내 ICT 산업 생태계 조성 및 사업화 촉진,,,,,,,,,,
용인 강소기업 청년 인턴 지원,일자리창출,2024.1,2024.12,용인시 관내 18세 ~ 39세 이하 청년,강소기업에서의 일 경험을 통한 경력 형성 기회를 제공하고 청년 인력 지원을 통해 양질의 일자리 창출,,,,,,,,,,
용인 청년 일자리 창출 프로젝트 1,일자리창출,2024.1,2024.12,용인시 관내 18세 ~ 39세 청년,사회적 기업 및 협동조합 등에 청년 고용 장려 및 지원을 통해 지역경제와 청년이 함께 성장,,,,,,,,,,
청년 (공공) 인턴 사업,일자리창출,2024.3,2024.1,18세 ~ 39세 용인시 거주 미취업 청년 33명,공공기관 경력 형성 기회 및 취업 지원 프로그램 제공,,,,,,,,,,
대학 일자리 플러스 센터 운영 지원,일자리창출,2024.1,2024.12,"단국대학교, 강남대학교",대학에서 운영하는 청년 취업 프로그램 및 고용 사업 재정 지원,,,,,,,,,,
미취업 청년 자격 시험 응시료 지원,복지지원,2024.4,2024.12,용인시에 주민등록을 둔 미취업 청년,국가기술자격 및 어학 시험 등 응시료 지원,,,,,,,,,,
돌봄 아동 - 대학생 매칭 학습 지원,복지지원,상반기 2024.2 / 하반기 2024.8,상반기 2024.7 / 하반기 2024.12,18세 ~ 39세 관내 대학(원)생 및 3년 이내 대학 졸업생,대학생 - 돌봄 아동 매칭을 통한 학습 지도 및 재능 발굴,,,,,,,,,,
용인시 일자리센터를 통한 청년 취업 지원,일자리창출,2024.1,2024.12,청년 중 미취업자,"구인구직 상담, 취업 알선, 취업 교육 운영 등 종합적 취업 지원 서비스 제공",,,,,,,,,,
청년 희망 케어 프로젝트 추진,복지지원,2024.1,2024.12,"용인시 거주 또는 소재 학교, 사업장 속 18-39세 청년",취업 및 사회적응 개선을 위한 심리적 안정감 증진 프로그램 제공,,,,,,,,,,
용인 청년 희망 옷장 (면접 정장 대여),복지지원,2024.1,2024.12 (예산 소진 시까지),용인시 거주 18 ~ 39세 구직 청년,구직 활동에 필요한 면접 정장 무료 대여 서비스 제공,,,,,,,,,,
용인 청년 면접 사진 촬영 운영,복지지원,2024.2,2024.11,"용인시 거주 또는 소재 학교, 사업장 속 18-39세 청년","메이크업 지원, 증명사진 및 프로필 사진 촬영 지원",,,,,,,,,,
청년 고민 타파 전담 솔루션 (취업),취업지원,2024.2,2024.11,"용인시 거주 또는 소재 학교, 사업장 속 18-39세 청년","진로 및 직업 선택, 직장 생활 안내 등 1:1 맞춤 상담 프로그램 지원",,,,,,,,,,
대학생 행정 체험 연수,일자리창출,상반기 2024.1 / 하반기 2024.7,상반기 2024.1 / 하반기 2024.8,용인시에 주민등록이 되어 있는 대학생 160명,행정 및 복지 업무 지원 등 다양한 행정 체험 기회 제공,,,,,,,,,,
청년 농업인 신기술 영농 정착 시범,복지지원,2024.1,2024.12,청년 농업인 18세 ~ 39세 이하,신기술 및 아이디어 도입으로 작목별 영농 기반 조성 및 지원,,,,,,,,,,
용인 청년 창업지원센터 운영,창업지원,2024.1,2024.12,창업자 및 예비 창업자,창업 성공을 위한 각종 지원 서비스 제공,,,,,,,,,,
